요양개시년월,주소(시도),주소(시군구),연령군,진료에피소드 건수,초미세먼지,미세먼지,일산화탄소,오존,이산화질소,아황산가스
201003,서울특별시,강북구,5,48,27,51,0.4,0.028,0.033,0.006
201003,서울특별시,강서구,0,653,30,64,0.7,0.024,0.036,0.005
201003,서울특별시,강서구,1,271,30,64,0.7,0.024,0.036,0.005
201003,서울특별시,강서구,2,156,30,64,0.7,0.024,0.036,0.005
201003,서울특별시,강서구,3,406,30,64,0.7,0.024,0.036,0.005
201003,서울특별시,강서구,4,128,30,64,0.7,0.024,0.036,0.005
201003,서울특별시,강서구,5,66,30,64,0.7,0.024,0.036,0.005
201003,서울특별시,관악구,0,596,35,68,0.6,0.021,0.033,0.004
201003,서울특별시,관악구,1,245,35,68,0.6,0.021,0.033,0.004
201003,서울특별시,관악구,2,98,35,68,0.6,0.021,0.033,0.004
201003,서울특별시,관악구,3,395,35,68,0.6,0.021,0.033,0.004
201003,서울특별시,관악구,4,199,35,68,0.6,0.021,0.033,0.004
201003,서울특별시,관악구,5,72,35,68,0.6,0.021,0.033,0.004
201003,서울특별시,광진구,0,596,25,60,0.5,0.028,0.027,0.004
201003,서울특별시,광진구,1,281,25,60,0.5,0.028,0.027,0.004
201003,서울특별시,광진구,2,158,25,60,0.5,0.028,0.027,0.004
201003,서울특별시,광진구,3,389,25,60,0.5,0.028,0.027,0.004
201003,서울특별시,광진구,4,221,25,60,0.5,0.028,0.027,0.004
201003,서울특별시,광진구,5,81,25,60,0.5,0.028,0.027,0.004
201003,서울특별시,구로구,0,669,29,66,0.6,0.024,0.035,0.004
201003,서울특별시,구로구,1,303,29,66,0.6,0.024,0.035,0.004
201003,서울특별시,구로구,2,169,29,66,0.6,0.024,0.035,0.004
201003,서울특별시,구로구,3,465,29,66,0.6,0.024,0.035,0.004
201003,서울특별시,구로구,4,188,29,66,0.6,0.024,0.035,0.004
201003,서울특별시,구로구,5,106,29,66,0.6,0.024,0.035,0.004
201003,서울특별시,금천구,0,376,32,53,0.5,0.026,0.025,0.006
201003,서울특별시,금천구,1,204,32,53,0.5,0.026,0.025,0.006
201003,서울특별시,금천구,2,141,32,53,0.5,0.026,0.025,0.006
201003,서울특별시,금천구,3,391,32,53,0.5,0.026,0.025,0.006
201003,서울특별시,금천구,4,227,32,53,0.5,0.026,0.025,0.006
201003,서울특별시,금천구,5,113,32,53,0.5,0.026,0.025,0.006
201003,서울특별시,노원구,0,342,27,50,0.4,0.029,0.027,0.006
201003,서울특별시,노원구,1,189,27,50,0.4,0.029,0.027,0.006
201003,서울특별시,노원구,2,108,27,50,0.4,0.029,0.027,0.006
201003,서울특별시,노원구,3,245,27,50,0.4,0.029,0.027,0.006
201003,서울특별시,노원구,4,105,27,50,0.4,0.029,0.027,0.006
201003,서울특별시,노원구,5,53,27,50,0.4,0.029,0.027,0.006
201003,서울특별시,도봉구,0,433,31,57,0.5,0.027,0.024,0.004
201003,서울특별시,도봉구,1,187,31,57,0.5,0.027,0.024,0.004
201003,서울특별시,도봉구,2,113,31,57,0.5,0.027,0.024,0.004
201003,서울특별시,도봉구,3,253,31,57,0.5,0.027,0.024,0.004
201003,서울특별시,도봉구,4,81,31,57,0.5,0.027,0.024,0.004
201003,서울특별시,도봉구,5,56,31,57,0.5,0.027,0.024,0.004
201003,서울특별시,동대문구,0,138,31,65,0.5,0.017,0.036,0.004
201003,서울특별시,동대문구,1,62,31,65,0.5,0.017,0.036,0.004
201003,서울특별시,동대문구,2,40,31,65,0.5,0.017,0.036,0.004
201003,서울특별시,동대문구,3,112,31,65,0.5,0.017,0.036,0.004
201003,서울특별시,동대문구,4,113,31,65,0.5,0.017,0.036,0.004
201003,서울특별시,동대문구,5,44,31,65,0.5,0.017,0.036,0.004
201003,서울특별시,동작구,0,483,32,52,0.4,0.03,0.034,0.006
201003,서울특별시,동작구,1,282,32,52,0.4,0.03,0.034,0.006
201003,서울특별시,동작구,2,184,32,52,0.4,0.03,0.034,0.006
