,년도,월,count
472,2017,5,5
473,2017,9,5
474,2017,9,5
475,2017,4,5
476,2017,7,4
477,2017,7,4
478,2017,7,4
479,2017,3,4
480,2017,11,4
481,2017,5,4
482,2017,5,4
483,2017,1,4
484,2017,9,4
485,2017,5,3
486,2017,7,3
487,2017,3,3
488,2017,4,3
489,2017,9,3
490,2017,4,2
491,2017,12,1
492,2017,2,1
493,2017,2,1
494,2017,2,1
495,2017,2,1
496,2017,12,1
497,2017,12,1
498,2017,12,1
499,2017,12,1
500,2017,12,1
501,2017,12,1
502,2017,12,1
503,2017,11,1
504,2017,11,1
505,2017,11,1
506,2017,11,1
507,2017,11,1
508,2017,11,1
509,2017,11,1
510,2017,11,1
511,2017,11,1
512,2017,11,1
513,2017,11,1
514,2017,3,1
515,2017,3,1
516,2017,3,1
517,2017,3,1
518,2017,4,1
519,2017,4,1
520,2017,4,1
521,2017,4,1
522,2017,4,1
523,2017,3,1
524,2017,3,1
525,2017,3,1
526,2017,3,1
527,2017,3,1
528,2017,3,1
529,2017,3,1
530,2017,3,1
531,2017,3,1
532,2017,3,1
533,2017,3,1
534,2017,3,1
535,2017,3,1
536,2017,3,1
537,2017,3,1
538,2017,3,1
539,2017,11,1
540,2017,10,1
541,2017,10,1
542,2017,10,1
543,2017,1,1
544,2017,1,1
545,2017,1,1
546,2017,1,1
547,2017,1,1
548,2017,1,1
549,2017,1,1
550,2017,1,1
551,2017,1,1
552,2017,1,1
553,2017,1,1
554,2017,1,1
555,2017,1,1
556,2017,1,1
557,2017,1,1
558,2017,1,1
559,2017,1,1
560,2017,1,1
561,2017,1,1
562,2017,4,1
563,2017,4,1
564,2017,4,1
565,2017,4,1
566,2017,9,1
567,2017,9,1
568,2017,9,1
569,2017,9,1
570,2017,9,1
571,2017,9,1
572,2017,9,1
573,2017,9,1
574,2017,4,1
575,2017,5,1
576,2017,5,1
577,2017,5,1
578,2017,4,1
579,2017,4,1
580,2017,4,1
581,2017,4,1
582,2017,4,1
583,2017,4,1
584,2017,4,1
585,2017,4,1
586,2017,9,1
587,2017,4,1
588,2017,4,1
589,2017,4,1
590,2017,4,1
591,2017,4,1
592,2017,4,1
593,2017,4,1
594,2017,4,1
595,2017,4,1
596,2017,4,1
597,2017,5,1
598,2017,5,1
599,2017,5,1
600,2017,5,1
601,2017,9,1
602,2017,9,1
603,2017,8,1
604,2017,6,1
605,2017,6,1
606,2017,6,1
607,2017,6,1
608,2017,5,1
609,2017,5,1
610,2017,5,1
611,2017,5,1
612,2017,5,1
613,2017,5,1
614,2017,5,1
615,2017,5,1
616,2017,5,1
617,2017,5,1
618,2017,5,1
619,2017,5,1
620,2017,5,1
621,2017,5,1
622,2018,2,8
623,2018,2,7
624,2018,3,7
625,2018,2,7
626,2018,12,6
627,2018,5,6
628,2018,4,6
629,2018,5,6
630,2018,4,6
631,2018,4,6
632,2018,11,6
633,2018,1,6
634,2018,1,6
635,2018,12,6
636,2018,4,5
637,2018,4,5
638,2018,4,5
639,2018,4,5
640,2018,4,5
641,2018,12,5
642,2018,2,5
643,2018,11,5
644,2018,11,5
645,2018,3,5
646,2018,12,5
647,2018,2,5
648,2018,5,5
649,2018,5,5
650,2018,5,5
651,2018,11,4
652,2018,12,4
653,2018,1,4
654,2018,10,4
655,2018,11,4
656,2018,10,4
657,2018,11,4
658,2018,5,4
659,2018,3,4
660,2018,4,4
661,2018,12,4
662,2018,11,4
663,2018,3,3
664,2018,2,3
665,2018,11,3
666,2018,3,3
667,2018,11,3
668,2018,3,3
669,2018,3,3
670,2018,11,3
671,2018,11,3
672,2018,11,3
673,2018,4,3
674,2018,4,2
675,2018,12,2
676,2018,4,2
677,2018,6,2
678,2018,1,2
679,2018,4,1
680,2018,3,1
681,2018,4,1
682,2018,3,1
683,2018,3,1
684,2018,3,1
685,2018,3,1
686,2018,3,1
687,2018,3,1
688,2018,3,1
689,2018,3,1
690,2018,3,1
691,2018,3,1
692,2018,3,1
693,2018,3,1
694,2018,3,1
695,2018,3,1
696,2018,3,1
697,2018,3,1
698,2018,3,1
699,2018,3,1
700,2018,3,1
701,2018,3,1
702,2018,3,1
703,2018,4,1
704,2018,4,1
705,2018,4,1
706,2018,4,1
707,2018,4,1
708,2018,4,1
709,2018,4,1
710,2018,4,1
711,2018,4,1
712,2018,4,1
713,2018,4,1
714,2018,4,1
715,2018,4,1
716,2018,4,1
717,2018,4,1
718,2018,4,1
719,2018,4,1
720,2018,4,1
721,2018,4,1
722,2018,4,1
723,2018,4,1
724,2018,4,1
725,2018,4,1
726,2018,4,1
727,2018,4,1
728,2018,3,1
729,2018,3,1
730,2018,4,1
731,2018,12,1
732,2018,2,1
733,2018,2,1
734,2018,2,1
735,2018,12,1
736,2018,12,1
737,2018,12,1
738,2018,12,1
739,2018,12,1
740,2018,12,1
741,2018,12,1
742,2018,12,1
743,2018,3,1
744,2018,12,1
745,2018,12,1
746,2018,12,1
747,2018,12,1
748,2018,12,1
749,2018,12,1
750,2018,12,1
751,2018,12,1
752,2018,12,1
753,2018,12,1
754,2018,2,1
755,2018,2,1
756,2018,2,1
757,2018,2,1
758,2018,3,1
759,2018,3,1
760,2018,3,1
761,2018,3,1
762,2018,3,1
763,2018,3,1
764,2018,3,1
765,2018,3,1
766,2018,3,1
767,2018,3,1
768,2018,3,1
769,2018,3,1
770,2018,3,1
771,2018,2,1
772,2018,2,1
773,2018,2,1
774,2018,2,1
775,2018,2,1
776,2018,2,1
777,2018,2,1
778,2018,2,1
779,2018,4,1
780,2018,4,1
781,2018,4,1
782,2018,5,1
783,2018,6,1
784,2018,5,1
785,2018,5,1
786,2018,5,1
787,2018,5,1
788,2018,5,1
789,2018,5,1
790,2018,5,1
791,2018,5,1
792,2018,5,1
793,2018,5,1
794,2018,5,1
795,2018,5,1
796,2018,5,1
797,2018,5,1
798,2018,5,1
799,2018,5,1
800,2018,4,1
801,2018,4,1
802,2018,4,1
803,2018,6,1
804,2018,6,1
805,2018,6,1
806,2018,6,1
807,2018,9,1
808,2018,9,1
809,2018,7,1
810,2018,7,1
811,2018,7,1
812,2018,7,1
813,2018,6,1
814,2018,6,1
815,2018,6,1
816,2018,6,1
817,2018,6,1
818,2018,6,1
819,2018,6,1
820,2018,6,1
821,2018,6,1
822,2018,6,1
823,2018,6,1
824,2018,12,1
825,2018,12,1
826,2018,12,1
827,2018,1,1
828,2018,1,1
829,2018,1,1
830,2018,1,1
831,2018,1,1
832,2018,1,1
833,2018,1,1
834,2018,1,1
835,2018,1,1
836,2018,1,1
837,2018,1,1
838,2018,1,1
839,2018,1,1
840,2018,1,1
841,2018,1,1
842,2018,1,1
843,2018,1,1
844,2018,1,1
845,2018,1,1
846,2018,1,1
847,2018,1,1
848,2018,10,1
849,2018,10,1
850,2018,10,1
851,2018,10,1
852,2018,10,1
853,2018,10,1
854,2018,10,1
855,2018,10,1
856,2018,10,1
857,2018,1,1
858,2018,1,1
859,2018,1,1
