요양개시년월,연령군,합계 : 진료에피소드 건수
202011,5,3097
202012,0,5055
202012,1,3245
202012,2,1949
202012,3,11181
202012,4,4797
202012,5,3223
202101,0,5186
202101,1,3262
202101,2,1971
202101,3,10042
202101,4,4114
202101,5,2759
202102,0,5421
202102,1,3136
202102,2,2017
202102,3,9727
202102,4,3975
202102,5,2724
202103,0,5950
202103,1,3248
202103,2,1758
202103,3,11578
202103,4,4939
202103,5,3417
202104,0,5791
202104,1,4146
202104,2,2017
202104,3,12015
202104,4,5234
202104,5,3275
202105,0,5292
202105,1,3004
202105,2,2117
202105,3,11059
202105,4,4967
202105,5,3279
202106,0,5642
202106,1,3627
202106,2,1956
202106,3,12594
202106,4,5853
202106,5,3869
202107,0,4728
202107,1,4210
202107,2,2636
202107,3,13308
202107,4,5903
202107,5,3825
202108,0,4669
202108,1,3870
202108,2,2284
202108,3,12313
202108,4,5483
202108,5,3826
202109,0,5407
202109,1,3784
202109,2,2030
202109,3,12504
202109,4,5589
202109,5,3712
202110,0,5248
202110,1,3767
202110,2,2175
202110,3,12326
202110,4,5341
202110,5,3848
202111,0,4322
202111,1,3278
202111,2,2027
202111,3,11584
202111,4,4991
202111,5,3439
202112,0,4815
202112,1,3158
202112,2,1935
202112,3,12071
202112,4,5064
202112,5,3545
